effporosity	Vshale		Class(Shale=1,SS=0)
3.35	,	91.63	,	1
2.64	,	93.39	,	1
1.94	,	95.15	,	1
1.23	,	96.92	,	1
0.84	,	97.89	,	1
1.6	,	95.96	,	1
2.35	,	94.04	,	1
3.11	,	92.12	,	1
3.86	,	90.2	,	1
3.62	,	90.82	,	1
3.35	,	91.51	,	1
3.08	,	92.2	,	1
2.81	,	92.88	,	1
2.51	,	93.65	,	1
2.2	,	94.44	,	1
1.89	,	95.23	,	1
1.58	,	96.02	,	1
1.28	,	96.78	,	1
0.98	,	97.53	,	1
0.68	,	98.28	,	1
0.39	,	99.03	,	1
0.2	,	99.51	,	1
0.32	,	99.19	,	1
0.45	,	98.87	,	1
0.58	,	98.55	,	1
0.7	,	98.23	,	1
0.66	,	98.33	,	1
0.62	,	98.43	,	1
0.59	,	98.53	,	1
0.55	,	98.62	,	1
0.7	,	98.22	,	1
0.91	,	97.68	,	1
1.12	,	97.12	,	1
1.33	,	96.57	,	1
1.34	,	96.56	,	1
1.16	,	97.02	,	1
0.98	,	97.49	,	1
0.79	,	97.96	,	1
0.86	,	97.77	,	1
1.54	,	95.96	,	1
2.22	,	94.16	,	1
2.9	,	92.36	,	1
3.64	,	90.38	,	1
5.64	,	84.81	,	1
7.65	,	79.22	,	1
9.66	,	73.62	,	1
11.68	,	68	,	0
15.5	,	56.58	,	0
19.74	,	43.81	,	0
23.98	,	31.05	,	0
28.22	,	18.28	,	0
30.04	,	12.73	,	0
30.03	,	12.64	,	0
30.03	,	12.55	,	0
30.02	,	12.46	,	0
28.5	,	16.96	,	0
23.91	,	30.75	,	0
19.33	,	44.55	,	0
14.74	,	58.36	,	0
10.34	,	71.54	,	0
7.94	,	78.16	,	1
5.55	,	84.77	,	1
3.15	,	91.37	,	1
0.76	,	97.97	,	1
0.4	,	98.97	,	1
0.39	,	98.99	,	1
0.38	,	99.02	,	1
0.37	,	99.04	,	1
0.38	,	99.02	,	1
0.4	,	98.95	,	1
0.42	,	98.89	,	1
0.44	,	98.83	,	1
0.45	,	98.79	,	1
0.45	,	98.8	,	1
0.45	,	98.8	,	1
0.45	,	98.8	,	1
0.77	,	97.9	,	1
3.16	,	91.25	,	1
5.54	,	84.59	,	1
7.93	,	77.93	,	1
10.33	,	71.25	,	0
13.9	,	60.05	,	0
17.6	,	48.34	,	0
21.3	,	36.63	,	0
25.01	,	24.91	,	0
26.46	,	20.19	,	0
26.74	,	19.1	,	0
27.03	,	18.01	,	0
27.31	,	16.94	,	0
25.27	,	23.11	,	0
20.06	,	39.22	,	0
14.85	,	55.32	,	0
9.64	,	71.44	,	1
5.2	,	85.13	,	1
4.2	,	88.02	,	1
3.19	,	90.92	,	1
2.19	,	93.81	,	1
1.19	,	96.7	,	1
2.29	,	93.48	,	1
3.51	,	89.9	,	1
4.73	,	86.31	,	1
5.97	,	82.71	,	1
6.18	,	82.04	,	1
5.99	,	82.58	,	1
5.79	,	83.13	,	1
5.59	,	83.67	,	1
4.89	,	85.7	,	1
3.64	,	89.38	,	1
2.38	,	93.06	,	1
1.12	,	96.76	,	1
0.16	,	99.56	,	1
0.23	,	99.36	,	1
0.3	,	99.17	,	1
0.37	,	98.98	,	1
0.43	,	98.79	,	1
0.67	,	98.09	,	1
0.91	,	97.4	,	1
1.15	,	96.71	,	1
1.39	,	96.02	,	1
2.15	,	93.71	,	1
3.08	,	90.9	,	1
4.01	,	88.08	,	1
4.93	,	85.26	,	1
4.83	,	85.56	,	1
3.8	,	88.69	,	1
2.76	,	91.81	,	1
1.73	,	94.93	,	1
0.99	,	97.15	,	1
0.98	,	97.16	,	1
0.97	,	97.18	,	1
0.96	,	97.2	,	1
0.98	,	97.14	,	1
1.47	,	95.65	,	1
1.96	,	94.17	,	1
2.45	,	92.68	,	1
2.94	,	91.2	,	1
2.81	,	91.59	,	1
2.54	,	92.4	,	1
2.28	,	93.2	,	1
2.02	,	94	,	1
2.07	,	93.83	,	1
2.34	,	92.97	,	1
2.62	,	92.11	,	1
2.89	,	91.26	,	1
3.3	,	89.97	,	1
3.96	,	87.86	,	1
4.62	,	85.75	,	1
5.28	,	83.64	,	1
6.48	,	80.05	,	1
11.99	,	64.56	,	0
17.5	,	49.06	,	0
23.02	,	33.54	,	0
28.54	,	18.02	,	0
29.21	,	15.93	,	0
29.2	,	15.74	,	0
29.18	,	15.56	,	0
29.17	,	15.37	,	0
24.76	,	28.1	,	0
17.88	,	48.07	,	0
10.99	,	68.07	,	0
4.11	,	88.06	,	1
2.72	,	92	,	1
9.39	,	72.43	,	1
16.06	,	52.83	,	0
22.72	,	33.23	,	0
28.11	,	17.27	,	0
27.33	,	18.92	,	0
26.56	,	20.57	,	0
25.78	,	22.22	,	0
25	,	23.87	,	0
25.18	,	23.09	,	0
25.43	,	22.15	,	0
25.67	,	21.2	,	0
25.92	,	20.26	,	0
21.95	,	32.39	,	0
16.21	,	50.06	,	0
10.46	,	67.74	,	0
4.71	,	85.42	,	1
1.66	,	94.8	,	1
1.67	,	94.77	,	1
1.67	,	94.73	,	1
1.68	,	94.69	,	1
2.43	,	92.15	,	1
5.55	,	81.52	,	1
8.67	,	70.88	,	1
11.79	,	60.25	,	0
14.9	,	49.65	,	0
13.53	,	54.44	,	0
12.16	,	59.24	,	0
10.79	,	64.04	,	0
9.42	,	68.85	,	1
9.19	,	69.62	,	1
9.31	,	69.15	,	1
9.43	,	68.67	,	1
9.56	,	68.17	,	1
8.55	,	71.53	,	1
6.55	,	78.25	,	1
4.54	,	84.99	,	1
2.52	,	91.74	,	1
1.07	,	96.61	,	1
0.91	,	97.12	,	1
0.75	,	97.62	,	1
0.6	,	98.13	,	1
0.46	,	98.58	,	1
0.56	,	98.23	,	1
0.67	,	97.87	,	1
0.78	,	97.52	,	1
0.89	,	97.16	,	1
1.95	,	93.56	,	1
3.21	,	89.31	,	1
4.48	,	85.03	,	1
5.75	,	80.73	,	1
8.71	,	69.67	,	1
12.78	,	54.23	,	0
16.83	,	38.83	,	0
20.88	,	23.45	,	0
23.46	,	13.56	,	0
23.58	,	12.83	,	0
23.71	,	12.09	,	0
23.84	,	11.35	,	0
23.94	,	10.77	,	0
23.79	,	11.25	,	0
23.64	,	11.73	,	0
23.48	,	12.22	,	0
23.33	,	12.72	,	0
19.03	,	29.04	,	0
14.31	,	46.95	,	0
9.59	,	64.87	,	1
4.86	,	82.8	,	1
3.41	,	88.32	,	1
3.52	,	87.92	,	1
3.62	,	87.53	,	1
3.73	,	87.12	,	1
3.79	,	86.91	,	1
3.78	,	86.94	,	1
3.76	,	86.97	,	1
3.75	,	86.99	,	1
3.64	,	87.36	,	1
3.17	,	89.01	,	1
2.7	,	90.66	,	1
2.23	,	92.31	,	1
1.76	,	93.97	,	1
2.15	,	92.58	,	1
2.55	,	91.13	,	1
2.95	,	89.68	,	1
3.36	,	88.23	,	1
3.26	,	88.58	,	1
2.99	,	89.54	,	1
2.72	,	90.49	,	1
2.45	,	91.45	,	1
2.2	,	92.33	,	1
1.97	,	93.15	,	1
1.73	,	93.97	,	1
1.5	,	94.79	,	1
1.3	,	95.52	,	1
1.15	,	96.04	,	1
1	,	96.56	,	1
0.85	,	97.08	,	1
0.71	,	97.57	,	1
0.7	,	97.6	,	1
0.69	,	97.63	,	1
0.68	,	97.66	,	1
0.67	,	97.69	,	1
0.86	,	97.06	,	1
1.08	,	96.29	,	1
1.31	,	95.49	,	1
1.55	,	94.67	,	1
2.13	,	92.55	,	1
2.93	,	89.57	,	1
3.74	,	86.6	,	1
